,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,810.0,529.0,855.0,100000.0,100000.0,2123.0,987.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,609.0,1024.0,864.0,100000.0,1243.0,901.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1018.0,824.0,875.0,100000.0,2248.0,1007.0,1926.0,2977.0,2132.0,1143.0,2069.0,100000.0,100000.0,2273.0,828.0,1596.0,100000.0,1088.0,1545.0,1954.0,1787.0,1076.0,100000.0,2536.0,1710.0,100000.0,2576.0,2401.0,2722.0,1880.0,1184.0,1395.0,100000.0,1900.0,2857.0,2249.0,1572.0,1017.0,1060.0,976.0,1979.0,2244.0,1997.0,1218.0,1565.0,2203.0,2012.0,1879.0,2381.0,2669.0,1480.0,2200.0,1501.0,1278.0,100000.0,1906.0,100000.0,1910.0,1870.0,2189.0,1741.0,2487.0,1980.0,1490.0,2545.0,2356.0,1456.0,1767.0,100000.0,1914.0,886.0,2424.0,2281.0,1769.0,1379.0,1964.0,100000.0,2217.0,1840.0,1646.0,1330.0,1005.0,1703.0,2327.0,805.0,1384.0,2621.0,1902.0,2467.0,1899.0,1341.0,1730.0,100000.0,2614.0,3676.0,100000.0,1714.0,1538.0,100000.0,1840.0
3,1498.0,769.0,980.0,1472.0,2206.0,1160.0,2449.0,2667.0,100000.0,1859.0,2435.0,287.0,191.0,1666.0,916.0,990.0,2407.0,799.0,1544.0,1368.0,909.0,1217.0,2288.0,1758.0,1627.0,2782.0,2184.0,1105.0,1028.0,1282.0,946.0,665.0,2228.0,1374.0,2330.0,750.0,2418.0,901.0,1233.0,1061.0,1438.0,1220.0,1112.0,1360.0,1361.0,2276.0,2046.0,1915.0,1734.0,2741.0,1290.0,1512.0,1700.0,1147.0,2888.0,2335.0,2366.0,1251.0,933.0,1618.0,2962.0,1049.0,2358.0,1130.0,2223.0,2011.0,1102.0,835.0,100000.0,1295.0,1076.0,2122.0,1531.0,2604.0,1982.0,1221.0,2426.0,2279.0,1527.0,1174.0,1393.0,1101.0,2750.0,1177.0,851.0,892.0,1346.0,1012.0,2618.0,1081.0,1256.0,1228.0,1794.0,2154.0,2696.0,2040.0,1609.0,1498.0,100000.0,2578.0
4,2244.0,1086.0,838.0,2244.0,1162.0,851.0,1193.0,100000.0,1477.0,1044.0,2297.0,100000.0,2003.0,2297.0,1013.0,951.0,2922.0,1654.0,330.0,1560.0,894.0,1035.0,1530.0,2385.0,1279.0,1178.0,2805.0,100000.0,1245.0,100000.0,1114.0,997.0,1526.0,1855.0,2744.0,1566.0,1996.0,1953.0,1599.0,1781.0,2051.0,1512.0,1359.0,2213.0,1947.0,2527.0,2595.0,232.0,2121.0,2312.0,1161.0,2635.0,1054.0,1328.0,1460.0,2245.0,2014.0,1185.0,1614.0,1540.0,2460.0,1564.0,1832.0,1107.0,100000.0,1563.0,996.0,2060.0,100000.0,1164.0,100000.0,100000.0,893.0,1645.0,774.0,1425.0,100000.0,1648.0,1303.0,1531.0,2620.0,1782.0,1635.0,1294.0,1436.0,1358.0,100000.0,2445.0,2889.0,2549.0,1387.0,1064.0,1232.0,1926.0,100000.0,1283.0,1259.0,2143.0,1627.0,2082.0
5,684.0,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,526.0,855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,611.0,562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1235.0,1249.0,1521.0,2160.0,1190.0,1574.0,2692.0,1824.0,1644.0,1414.0,1914.0,100000.0,1816.0,2740.0,2326.0,1214.0,1685.0,1578.0,1550.0,2365.0,1389.0,1620.0,1555.0,2877.0,2522.0,1499.0,1600.0,2274.0,1530.0,100000.0,2711.0,870.0,2887.0,100000.0,2314.0,2824.0,100000.0,1545.0,3173.0,1426.0,1776.0,1766.0,2612.0,2182.0,2217.0,100000.0,406.0,2316.0,2913.0,2748.0,1243.0,3114.0,100000.0,2202.0,100000.0,1682.0,2257.0,1417.0,100000.0,2635.0,100000.0,100000.0,1824.0,100000.0,2747.0,100000.0,1457.0,2868.0,100000.0,1469.0,2593.0,1551.0,2144.0,100000.0,1174.0,2499.0,100000.0,100000.0,2375.0,1672.0,1418.0,1389.0,2693.0,1387.0,1383.0,100000.0,2926.0,2085.0,100000.0,1732.0,2821.0,1577.0,100000.0,2615.0,1454.0,2645.0,2189.0,1503.0,2714.0,2677.0
9,1826.0,4605.0,1896.0,1867.0,2216.0,1396.0,2801.0,2922.0,2293.0,1952.0,8509.0,1311.0,1686.0,1335.0,1386.0,1280.0,1286.0,1710.0,2495.0,2729.0,2535.0,1034.0,1392.0,1191.0,19343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,880.0,854.0,1715.0,1240.0,1075.0,565.0,2176.0,7994.0,2129.0,2841.0,1716.0,1813.0,1674.0,1888.0,2357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,574.0,795.0,1192.0,991.0,631.0,1193.0,2583.0,2121.0,736.0,1146.0,979.0,737.0,977.0,1326.0,1151.0,881.0,932.0,863.0,1617.0,1607.0,1870.0,564.0,658.0,503.0,3858.0,805.0,908.0,1504.0,865.0,2266.0,2159.0,762.0,876.0,1718.0,3004.0,1202.0,1673.0,1215.0,794.0,887.0,1335.0,4098.0,1622.0,960.0,1627.0,609.0,820.0,1674.0,931.0,2231.0,1001.0,1395.0,1420.0,715.0,895.0,900.0,915.0,3150.0,1642.0,862.0,1280.0,1417.0,890.0,2413.0,1130.0,1314.0,719.0,876.0,994.0,2457.0,1532.0,1656.0,1563.0,1387.0,2846.0,1715.0,939.0,1280.0,1953.0,1785.0,746.0,3182.0,890.0,1145.0,895.0,1020.0,1610.0,1317.0,2085.0,1242.0,1423.0,1636.0,1656.0,3823.0,2314.0,1955.0,169.0,1576.0,1357.0,1157.0
12,1508.0,1357.0,2332.0,1512.0,1313.0,1218.0,2290.0,2906.0,4146.0,1809.0,1638.0,1389.0,1477.0,1043.0,1385.0,1995.0,1227.0,2291.0,1972.0,3096.0,3430.0,804.0,881.0,865.0,2309.0,1690.0,3261.0,1073.0,1490.0,1837.0,5095.0,1782.0,1488.0,3253.0,2493.0,5050.0,2464.0,2644.0,1481.0,1131.0,2231.0,3341.0,1429.0,1037.0,2630.0,1981.0,1929.0,2016.0,1434.0,1793.0,1572.0,2698.0,1926.0,1076.0,1884.0,1455.0,2343.0,1746.0,1906.0,1317.0,1500.0,1427.0,958.0,2244.0,1825.0,2492.0,1105.0,2972.0,1686.0,2469.0,1569.0,1792.0,970.0,3287.0,1321.0,3199.0,1044.0,1372.0,2065.0,4154.0,1022.0,5706.0,907.0,1932.0,1308.0,1298.0,2763.0,2746.0,2163.0,1368.0,2782.0,847.0,2280.0,3396.0,1858.0,1898.0,1476.0,1556.0,962.0,1249.0
13,855.0,797.0,1903.0,1104.0,1463.0,883.0,1925.0,2092.0,7845.0,2642.0,3900.0,2091.0,1639.0,1118.0,2533.0,2676.0,1472.0,1026.0,1353.0,1375.0,2916.0,765.0,1017.0,996.0,3877.0,1449.0,1391.0,1008.0,1102.0,1410.0,2362.0,4184.0,1139.0,1422.0,2971.0,1891.0,1492.0,2807.0,950.0,1306.0,1459.0,2405.0,1852.0,987.0,2125.0,1020.0,967.0,1355.0,2164.0,2520.0,1945.0,1064.0,2434.0,3416.0,1152.0,1010.0,1254.0,4044.0,1696.0,1280.0,2354.0,954.0,873.0,1362.0,1891.0,1164.0,926.0,1009.0,1245.0,990.0,926.0,2993.0,1652.0,2640.0,2062.0,2252.0,1321.0,1703.0,1220.0,1632.0,821.0,1696.0,854.0,974.0,869.0,828.0,1901.0,1699.0,1337.0,932.0,1224.0,790.0,1795.0,1503.0,939.0,1251.0,1324.0,2436.0,1584.0,839.0
14,2219.0,876.0,1677.0,1448.0,915.0,892.0,11805.0,6270.0,1403.0,1399.0,2257.0,1044.0,1462.0,981.0,683.0,1131.0,1217.0,750.0,2329.0,1753.0,6058.0,2521.0,671.0,494.0,427.0,2059.0,1057.0,788.0,700.0,1340.0,4043.0,709.0,886.0,5589.0,1162.0,1341.0,1466.0,3326.0,1130.0,1673.0,2098.0,5952.0,1258.0,4429.0,1332.0,1260.0,739.0,2218.0,1434.0,2603.0,923.0,978.0,3884.0,2061.0,626.0,1080.0,819.0,2268.0,1435.0,1195.0,3367.0,3962.0,764.0,2441.0,4621.0,1297.0,1294.0,795.0,1359.0,1511.0,1673.0,3023.0,2898.0,6308.0,1333.0,1926.0,924.0,1059.0,1740.0,2927.0,677.0,3952.0,1118.0,1256.0,857.0,969.0,2514.0,1051.0,2018.0,813.0,3238.0,637.0,4372.0,3447.0,1890.0,1524.0,1235.0,2901.0,1880.0,930.0
